race_id,race_date,race_no,race_type,category,profile,horse_count,status,ideal_weight_json
224975,13.05.2026,1,Maiden/DHÖW,MAIDEN,MAIDEN,12,ok,"{""bounce_score"": 27.431, ""degree_avg"": 15.918, ""degree_trend"": 1.428, ""distance_suit"": 20.725, ""form_trend"": 2.447, ""jockey_score"": 3.266, ""pace_score"": 8.49, ""training_degree_score"": 7.668, ""weight_impact"": 12.627}"
224976,13.05.2026,2,Maiden/DHÖW,MAIDEN,MAIDEN,10,ok,"{""bounce_score"": 9.196, ""degree_avg"": 61.424, ""degree_trend"": 11.944, ""form_trend"": 0.386, ""jockey_score"": 0.637, ""training_fitness"": 16.414}"
224992,13.05.2026,3,Handikap 21/DHÖW /H1,HANDIKAP,HANDIKAP,12,ok,"{""bounce_score"": 16.024, ""degree_avg"": 12.873, ""degree_stability"": 0.664, ""degree_trend"": 9.348, ""distance_suit"": 17.032, ""form_trend"": 5.649, ""hp_score"": 7.884, ""pace_score"": 9.653, ""pedigree"": 0.965, ""training_fitness"": 19.908}"
224980,13.05.2026,4,KV-9,KV,KV,16,ok,"{""bounce_score"": 17.583, ""degree_avg"": 8.559, ""degree_stability"": 14.61, ""degree_trend"": 24.749, ""distance_suit"": 7.661, ""form_trend"": 13.719, ""hp_score"": 3.909, ""jockey_score"": 0.14, ""training_fitness"": 5.169, ""weight_impact"": 3.901}"
224988,13.05.2026,5,G 3/DHT,GRUP,GRUP,13,ok,"{""bounce_score"": 8.934, ""degree_stability"": 39.218, ""hp_score"": 21.251, ""pace_score"": 6.142, ""pedigree"": 0.558, ""training_degree_score"": 10.028, ""weight_impact"": 13.869}"
224987,13.05.2026,6,Handikap 21 /H1,HANDIKAP,HANDIKAP,11,ok,"{""bounce_score"": 20.349, ""degree_avg"": 28.332, ""degree_stability"": 7.861, ""degree_trend"": 6.696, ""distance_suit"": 7.17, ""form_trend"": 9.639, ""training_degree_score"": 8.413, ""training_fitness"": 7.744, ""weight_impact"": 3.797}"
224990,13.05.2026,7,KV-8/DHÖ/Dişi,KV,KV,9,ok,"{""degree_avg"": 52.568, ""degree_trend"": 0.35, ""distance_suit"": 5.924, ""form_trend"": 2.826, ""hp_score"": 26.485, ""jockey_score"": 5.285, ""pace_score"": 6.562}"
224981,13.05.2026,8,Handikap 15 /H1,HANDIKAP,HANDIKAP15,17,ok,"{""bounce_score"": 24.069, ""degree_avg"": 12.368, ""degree_stability"": 9.649, ""degree_trend"": 12.59, ""distance_suit"": 1.952, ""form_trend"": 13.235, ""weight_impact"": 26.137}"
225031,16.05.2026,1,Maiden,MAIDEN,MAIDEN,10,ok,"{""bounce_score"": 13.962, ""degree_stability"": 3.408, ""distance_suit"": 14.089, ""form_trend"": 23.805, ""hp_score"": 25.671, ""pace_score"": 18.087, ""weight_impact"": 0.977}"
225042,16.05.2026,1,Handikap 15/DHÖW /H2,HANDIKAP,HANDIKAP15|Cim,11,ok,"{""bounce_score"": 1.903, ""degree_avg"": 18.841, ""degree_stability"": 11.014, ""distance_suit"": 28.477, ""form_trend"": 15.771, ""hp_score"": 18.219, ""jockey_score"": 0.55, ""pace_score"": 1.903, ""weight_impact"": 3.323}"
225034,16.05.2026,2,Maiden/DHÖ,MAIDEN,MAIDEN,10,ok,"{""degree_avg"": 37.426, ""distance_suit"": 24.739, ""form_trend"": 25.67, ""jockey_score"": 5.4, ""pace_score"": 4.061, ""weight_impact"": 2.704}"
225046,16.05.2026,2,ŞARTLI 4/DHÖW,SARTLI,SART4,8,ok,"{""degree_stability"": 5.601, ""degree_trend"": 1.708, ""distance_suit"": 26.201, ""hp_score"": 64.305, ""weight_impact"": 2.185}"
225040,16.05.2026,3,ŞARTLI 3/DHÖ,SARTLI,SART3,5,ok,"{""bounce_score"": 11.035, ""distance_suit"": 42.178, ""form_trend"": 16.871, ""hp_score"": 24.522, ""jockey_score"": 5.395}"
225047,16.05.2026,3,SATIŞ 2/DHÖW,SATIS,SATIS,10,ok,"{""bounce_score"": 4.031, ""degree_avg"": 32.424, ""degree_trend"": 10.837, ""distance_suit"": 6.517, ""form_trend"": 31.322, ""jockey_score"": 11.845, ""pace_score"": 3.023}"
225033,16.05.2026,4,Maiden/DHÖ,MAIDEN,MAIDEN,11,ok,"{""degree_avg"": 0.885, ""degree_stability"": 26.39, ""distance_suit"": 31.419, ""form_trend"": 28.547, ""jockey_score"": 4.763, ""pace_score"": 7.997}"
225043,16.05.2026,4,Handikap 16/DHÖ /H2,HANDIKAP,HANDIKAP16|Kum,11,ok,"{""degree_avg"": 27.643, ""degree_trend"": 1.665, ""distance_suit"": 12.855, ""form_trend"": 11.42, ""hp_score"": 39.47, ""jockey_score"": 5.511, ""pace_score"": 1.435}"
225030,16.05.2026,5,Maiden,MAIDEN,MAIDEN,11,ok,"{""bounce_score"": 2.475, ""degree_avg"": 4.696, ""degree_stability"": 11.076, ""distance_suit"": 24.188, ""form_trend"": 9.187, ""hp_score"": 46.757, ""jockey_score"": 0.637, ""weight_impact"": 0.983}"
225038,16.05.2026,5,KV-8/Dişi,KV,KV,11,ok,"{""degree_avg"": 27.797, ""degree_trend"": 3.956, ""distance_suit"": 9.833, ""form_trend"": 14.159, ""hp_score"": 29.399, ""jockey_score"": 11.323, ""pace_score"": 3.532}"
225035,16.05.2026,6,KV-7,KV,KV,7,ok,"{""bounce_score"": 0.942, ""degree_stability"": 1.008, ""degree_trend"": 10.746, ""distance_suit"": 13.355, ""form_trend"": 13.449, ""hp_score"": 40.102, ""jockey_score"": 18.902, ""weight_impact"": 1.497}"
225036,16.05.2026,6,KV-9,KV,KV,15,ok,"{""bounce_score"": 12.233, ""degree_avg"": 5.038, ""degree_trend"": 16.044, ""distance_suit"": 27.794, ""form_trend"": 14.786, ""hp_score"": 13.714, ""jockey_score"": 10.391}"
